Puntuaci√≥n natural,DC,SE,RD,CD,CL,VB,NL,MT,CM,BS,FI,RG,IN,AR,PC,Edad (meses)
103,,,,,19.0,,,,,,,16,,,,102
104,,,,,19.0,,,,,,,16,,,,102
105,,,,,19.0,,,,,,,16,,,,102
106,,,,,19.0,,,,,,,17,,,,102
107,,,,,19.0,,,,,,,17,,,,102
108,,,,,19.0,,,,,,,17,,,,102
109,,,,,19.0,,,,,,,17,,,,102
110,,,,,19.0,,,,,,,17,,,,102
111,,,,,19.0,,,,,,,18,,,,102
112,,,,,19.0,,,,,,,18,,,,102
113,,,,,19.0,,,,,,,18,,,,102
114,,,,,19.0,,,,,,,18,,,,102
115,,,,,19.0,,,,,,,18,,,,102
116,,,,,19.0,,,,,,,18,,,,102
117,,,,,19.0,,,,,,,19,,,,102
118,,,,,19.0,,,,,,,19,,,,102
119,,,,,19.0,,,,,,,19,,,,102
120,,,,,,,,,,,,19,,,,102
121,,,,,,,,,,,,19,,,,102
122,,,,,,,,,,,,19,,,,102
123,,,,,,,,,,,,19,,,,102
124,,,,,,,,,,,,19,,,,102
125,,,,,,,,,,,,19,,,,102
126,,,,,,,,,,,,19,,,,102
127,,,,,,,,,,,,19,,,,102
128,,,,,,,,,,,,19,,,,102
129,,,,,,,,,,,,19,,,,102
130,,,,,,,,,,,,19,,,,102
131,,,,,,,,,,,,19,,,,102
132,,,,,,,,,,,,19,,,,102
133,,,,,,,,,,,,19,,,,102
134,,,,,,,,,,,,19,,,,102
135,,,,,,,,,,,,19,,,,102
136,,,,,,,,,,,,19,,,,102
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,108
1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,108
2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,108
3,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1.0,2.0,3.0,108
4,3.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1,1.0,3.0,4.0,108
5,4.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,1,2.0,4.0,4.0,108
6,4.0,5.0,4.0,4.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,1,3.0,5.0,5.0,108
7,5.0,6.0,5.0,5.0,1.0,1.0,5.0,4.0,5.0,4.0,2.0,1,4.0,5.0,5.0,108
8,5.0,6.0,5.0,5.0,2.0,1.0,6.0,5.0,5.0,4.0,3.0,1,5.0,5.0,6.0,108
9,5.0,6.0,6.0,6.0,2.0,2.0,6.0,5.0,6.0,5.0,3.0,1,5.0,6.0,6.0,108
10,6.0,6.0,6.0,6.0,3.0,2.0,6.0,6.0,6.0,5.0,4.0,1,6.0,6.0,7.0,108
11,6.0,7.0,7.0,6.0,3.0,3.0,7.0,6.0,6.0,6.0,4.0,1,7.0,6.0,8.0,108
12,6.0,7.0,8.0,7.0,3.0,3.0,8.0,6.0,7.0,7.0,5.0,1,8.0,6.0,9.0,108
13,6.0,8.0,9.0,8.0,4.0,4.0,9.0,7.0,7.0,7.0,5.0,1,9.0,6.0,10.0,108
14,7.0,9.0,10.0,9.0,4.0,4.0,10.0,7.0,7.0,8.0,6.0,1,10.0,6.0,11.0,108
15,7.0,10.0,11.0,10.0,4.0,5.0,11.0,8.0,8.0,8.0,6.0,1,11.0,6.0,12.0,108
16,7.0,10.0,12.0,11.0,4.0,5.0,12.0,9.0,8.0,9.0,7.0,2,12.0,7.0,13.0,108
17,7.0,10.0,13.0,12.0,5.0,6.0,12.0,10.0,9.0,9.0,7.0,2,13.0,8.0,14.0,108
18,8.0,11.0,14.0,12.0,5.0,6.0,13.0,10.0,9.0,9.0,8.0,2,14.0,9.0,15.0,108
19,8.0,12.0,15.0,13.0,5.0,7.0,13.0,11.0,10.0,10.0,9.0,2,15.0,10.0,16.0,108
20,8.0,12.0,16.0,14.0,5.0,7.0,14.0,11.0,11.0,10.0,9.0,2,16.0,11.0,17.0,108
21,9.0,13.0,17.0,15.0,5.0,7.0,15.0,12.0,12.0,11.0,10.0,3,17.0,12.0,18.0,108
22,9.0,13.0,18.0,16.0,6.0,8.0,16.0,12.0,12.0,11.0,10.0,3,18.0,13.0,19.0,108
23,10.0,13.0,19.0,17.0,6.0,8.0,17.0,12.0,13.0,12.0,10.0,3,18.0,14.0,19.0,108
24,10.0,14.0,19.0,18.0,6.0,9.0,18.0,13.0,14.0,13.0,11.0,3,18.0,15.0,19.0,108
25,10.0,15.0,19.0,18.0,6.0,10.0,19.0,14.0,14.0,13.0,11.0,3,19.0,16.0,,108
26,10.0,16.0,19.0,19.0,6.0,10.0,19.0,15.0,15.0,14.0,12.0,4,19.0,17.0,,108
27,11.0,17.0,19.0,19.0,7.0,10.0,19.0,16.0,16.0,14.0,13.0,4,19.0,18.0,,108
28,11.0,17.0,19.0,19.0,7.0,10.0,19.0,17.0,17.0,14.0,14.0,4,19.0,18.0,,108
29,11.0,17.0,19.0,,7.0,11.0,19.0,18.0,18.0,15.0,15.0,4,19.0,18.0,,108
30,12.0,18.0,19.0,,7.0,11.0,19.0,19.0,19.0,15.0,16.0,4,19.0,19.0,,108
31,12.0,18.0,19.0,,8.0,12.0,,19.0,19.0,15.0,17.0,5,19.0,19.0,,108
32,12.0,18.0,19.0,,8.0,12.0,,19.0,19.0,16.0,18.0,5,19.0,19.0,,108
33,12.0,18.0,,,9.0,13.0,,19.0,19.0,16.0,19.0,5,19.0,19.0,,108
34,12.0,19.0,,,9.0,13.0,,19.0,19.0,17.0,19.0,5,,19.0,,108
35,13.0,19.0,,,10.0,13.0,,19.0,19.0,17.0,19.0,5,,,,108
36,13.0,19.0,,,10.0,13.0,,,19.0,18.0,19.0,6,,,,108
37,13.0,19.0,,,10.0,14.0,,,19.0,18.0,19.0,6,,,,108
38,13.0,19.0,,,10.0,14.0,,,19.0,19.0,19.0,6,,,,108
39,14.0,19.0,,,11.0,15.0,,,19.0,19.0,,6,,,,108
40,14.0,19.0,,,11.0,15.0,,,19.0,19.0,,6,,,,108
41,14.0,19.0,,,11.0,15.0,,,19.0,19.0,,6,,,,108
42,14.0,19.0,,,12.0,16.0,,,19.0,19.0,,7,,,,108
43,15.0,19.0,,,12.0,16.0,,,,19.0,,7,,,,108
44,15.0,19.0,,,13.0,16.0,,,,19.0,,7,,,,108
45,15.0,,,,13.0,17.0,,,,19.0,,7,,,,108
46,16.0,,,,13.0,17.0,,,,19.0,,7,,,,108
47,16.0,,,,13.0,18.0,,,,19.0,,7,,,,108
48,16.0,,,,14.0,18.0,,,,19.0,,7,,,,108
49,17.0,,,,14.0,19.0,,,,19.0,,7,,,,108
50,17.0,,,,14.0,19.0,,,,19.0,,8,,,,108
51,17.0,,,,14.0,19.0,,,,19.0,,8,,,,108
52,17.0,,,,14.0,19.0,,,,19.0,,8,,,,108
53,18.0,,,,15.0,19.0,,,,19.0,,8,,,,108
54,18.0,,,,15.0,19.0,,,,19.0,,8,,,,108
55,18.0,,,,15.0,19.0,,,,19.0,,8,,,,108
56,18.0,,,,16.0,19.0,,,,19.0,,9,,,,108
57,18.0,,,,16.0,19.0,,,,19.0,,9,,,,108
58,19.0,,,,16.0,19.0,,,,19.0,,9,,,,108
59,19.0,,,,17.0,19.0,,,,19.0,,9,,,,108
60,19.0,,,,17.0,19.0,,,,19.0,,9,,,,108
61,19.0,,,,17.0,19.0,,,,,,9,,,,108
62,19.0,,,,17.0,19.0,,,,,,9,,,,108
63,19.0,,,,18.0,19.0,,,,,,9,,,,108
64,19.0,,,,18.0,19.0,,,,,,10,,,,108
65,19.0,,,,18.0,19.0,,,,,,10,,,,108
66,19.0,,,,18.0,19.0,,,,,,10,,,,108
67,19.0,,,,18.0,19.0,,,,,,10,,,,108
68,19.0,,,,19.0,19.0,,,,,,10,,,,108
69,,,,,19.0,,,,,,,11,,,,108
70,,,,,19.0,,,,,,,11,,,,108
71,,,,,19.0,,,,,,,11,,,,108
72,,,,,19.0,,,,,,,11,,,,108
73,,,,,19.0,,,,,,,11,,,,108
74,,,,,19.0,,,,,,,12,,,,108
75,,,,,19.0,,,,,,,12,,,,108
76,,,,,19.0,,,,,,,12,,,,108
77,,,,,19.0,,,,,,,12,,,,108
78,,,,,19.0,,,,,,,12,,,,108
79,,,,,19.0,,,,,,,12,,,,108
80,,,,,19.0,,,,,,,13,,,,108
81,,,,,19.0,,,,,,,13,,,,108
82,,,,,19.0,,,,,,,13,,,,108
83,,,,,19.0,,,,,,,13,,,,108
84,,,,,19.0,,,,,,,13,,,,108
85,,,,,19.0,,,,,,,13,,,,108
86,,,,,19.0,,,,,,,13,,,,108
87,,,,,19.0,,,,,,,14,,,,108
88,,,,,19.0,,,,,,,14,,,,108
89,,,,,19.0,,,,,,,14,,,,108
90,,,,,19.0,,,,,,,14,,,,108
91,,,,,19.0,,,,,,,14,,,,108
92,,,,,19.0,,,,,,,14,,,,108
93,,,,,19.0,,,,,,,15,,,,108
94,,,,,19.0,,,,,,,15,,,,108
95,,,,,19.0,,,,,,,15,,,,108
96,,,,,19.0,,,,,,,15,,,,108
97,,,,,19.0,,,,,,,15,,,,108
98,,,,,19.0,,,,,,,15,,,,108
99,,,,,19.0,,,,,,,15,,,,108
100,,,,,19.0,,,,,,,16,,,,108
101,,,,,19.0,,,,,,,16,,,,108
102,,,,,19.0,,,,,,,16,,,,108
103,,,,,19.0,,,,,,,16,,,,108
104,,,,,19.0,,,,,,,16,,,,108
105,,,,,19.0,,,,,,,16,,,,108
106,,,,,19.0,,,,,,,17,,,,108
107,,,,,19.0,,,,,,,17,,,,108
108,,,,,19.0,,,,,,,17,,,,108
109,,,,,19.0,,,,,,,17,,,,108
110,,,,,19.0,,,,,,,17,,,,108
111,,,,,19.0,,,,,,,18,,,,108
112,,,,,19.0,,,,,,,18,,,,108
113,,,,,19.0,,,,,,,18,,,,108
114,,,,,19.0,,,,,,,18,,,,108
115,,,,,19.0,,,,,,,18,,,,108
116,,,,,19.0,,,,,,,18,,,,108
117,,,,,19.0,,,,,,,18,,,,108
118,,,,,19.0,,,,,,,18,,,,108
119,,,,,19.0,,,,,,,19,,,,108
120,,,,,,,,,,,,19,,,,108
121,,,,,,,,,,,,19,,,,108
122,,,,,,,,,,,,19,,,,108
123,,,,,,,,,,,,19,,,,108
124,,,,,,,,,,,,19,,,,108
125,,,,,,,,,,,,19,,,,108
126,,,,,,,,,,,,19,,,,108
127,,,,,,,,,,,,19,,,,108
128,,,,,,,,,,,,19,,,,108
129,,,,,,,,,,,,19,,,,108
130,,,,,,,,,,,,19,,,,108
131,,,,,,,,,,,,19,,,,108
132,,,,,,,,,,,,19,,,,108
133,,,,,,,,,,,,19,,,,108
134,,,,,,,,,,,,19,,,,108
135,,,,,,,,,,,,19,,,,108
136,,,,,,,,,,,,19,,,,108
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,114
1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,114
2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,114
3,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,3.0,114
4,3.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1.0,3.0,4.0,114
5,4.0,5.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1,1.0,4.0,4.0,114
6,4.0,5.0,3.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1,2.0,5.0,5.0,114
7,5.0,6.0,4.0,5.0,1.0,1.0,5.0,4.0,4.0,3.0,2.0,1,3.0,5.0,5.0,114
8,5.0,6.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,1,4.0,5.0,6.0,114
9,5.0,6.0,6.0,6.0,1.0,2.0,6.0,5.0,6.0,4.0,3.0,1,5.0,6.0,6.0,114
10,6.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,5.0,4.0,1,6.0,6.0,7.0,114
11,6.0,7.0,7.0,6.0,2.0,3.0,7.0,6.0,6.0,6.0,4.0,1,7.0,6.0,8.0,114
12,6.0,7.0,8.0,7.0,2.0,3.0,8.0,6.0,6.0,7.0,5.0,1,7.0,6.0,9.0,114
13,6.0,8.0,9.0,8.0,2.0,4.0,8.0,7.0,7.0,7.0,5.0,1,8.0,6.0,10.0,114
14,6.0,9.0,10.0,8.0,3.0,4.0,9.0,7.0,7.0,7.0,6.0,1,9.0,6.0,11.0,114
15,7.0,9.0,11.0,9.0,3.0,5.0,9.0,8.0,8.0,7.0,6.0,1,9.0,6.0,12.0,114
16,7.0,10.0,12.0,9.0,3.0,5.0,10.0,8.0,8.0,8.0,7.0,1,10.0,7.0,13.0,114
17,7.0,10.0,13.0,10.0,3.0,6.0,11.0,9.0,9.0,9.0,7.0,1,11.0,8.0,14.0,114
18,7.0,10.0,14.0,11.0,4.0,6.0,12.0,9.0,9.0,9.0,8.0,1,12.0,9.0,15.0,114
19,7.0,10.0,15.0,12.0,4.0,7.0,13.0,10.0,10.0,10.0,9.0,1,13.0,9.0,16.0,114
20,8.0,11.0,16.0,13.0,4.0,7.0,14.0,10.0,10.0,10.0,9.0,2,14.0,10.0,17.0,114
21,8.0,11.0,17.0,13.0,4.0,7.0,15.0,10.0,11.0,11.0,9.0,2,15.0,11.0,18.0,114
22,9.0,12.0,18.0,14.0,5.0,7.0,16.0,11.0,11.0,11.0,10.0,2,16.0,12.0,19.0,114
23,9.0,12.0,18.0,15.0,5.0,8.0,17.0,12.0,12.0,12.0,10.0,2,17.0,13.0,19.0,114
24,9.0,12.0,18.0,16.0,5.0,8.0,18.0,13.0,12.0,13.0,11.0,2,18.0,14.0,19.0,114
25,10.0,13.0,19.0,17.0,5.0,8.0,19.0,14.0,13.0,13.0,11.0,3,18.0,15.0,,114
26,10.0,13.0,19.0,18.0,6.0,9.0,19.0,15.0,14.0,13.0,12.0,3,19.0,16.0,,114
27,10.0,13.0,19.0,19.0,6.0,9.0,19.0,16.0,15.0,14.0,13.0,3,19.0,17.0,,114
28,10.0,14.0,19.0,19.0,6.0,9.0,19.0,17.0,16.0,14.0,14.0,3,19.0,18.0,,114
29,10.0,15.0,19.0,,7.0,10.0,19.0,18.0,17.0,15.0,15.0,3,19.0,18.0,,114
30,11.0,16.0,19.0,,7.0,10.0,19.0,19.0,18.0,15.0,16.0,4,19.0,18.0,,114
31,11.0,16.0,19.0,,7.0,10.0,,19.0,19.0,15.0,16.0,4,19.0,19.0,,114
32,11.0,17.0,19.0,,7.0,10.0,,19.0,19.0,16.0,17.0,4,19.0,20.0,,114
33,11.0,17.0,,,7.0,11.0,,19.0,19.0,16.0,17.0,4,19.0,19.0,,114
34,11.0,18.0,,,8.0,11.0,,19.0,19.0,17.0,18.0,4,,19.0,,114
35,12.0,18.0,,,8.0,11.0,,19.0,19.0,17.0,19.0,4,,,,114
36,12.0,19.0,,,8.0,12.0,,,19.0,18.0,19.0,5,,,,114
37,12.0,19.0,,,9.0,12.0,,,19.0,18.0,19.0,5,,,,114
38,12.0,19.0,,,9.0,13.0,,,19.0,18.0,19.0,5,,,,114
39,13.0,19.0,,,10.0,13.0,,,19.0,19.0,,5,,,,114
40,13.0,19.0,,,10.0,14.0,,,19.0,19.0,,5,,,,114
41,13.0,19.0,,,10.0,14.0,,,19.0,19.0,,5,,,,114
42,13.0,19.0,,,11.0,15.0,,,19.0,19.0,,6,,,,114
43,13.0,19.0,,,11.0,15.0,,,,19.0,,6,,,,114
44,14.0,19.0,,,11.0,16.0,,,,19.0,,6,,,,114
45,14.0,,,,12.0,16.0,,,,19.0,,6,,,,114
46,14.0,,,,12.0,17.0,,,,19.0,,6,,,,114
47,15.0,,,,12.0,17.0,,,,19.0,,7,,,,114
48,15.0,,,,12.0,18.0,,,,19.0,,7,,,,114
49,15.0,,,,13.0,18.0,,,,19.0,,7,,,,114
50,16.0,,,,13.0,18.0,,,,19.0,,7,,,,114
51,16.0,,,,13.0,18.0,,,,19.0,,7,,,,114
52,17.0,,,,13.0,19.0,,,,19.0,,8,,,,114
53,17.0,,,,13.0,19.0,,,,19.0,,8,,,,114
54,17.0,,,,14.0,19.0,,,,19.0,,8,,,,114
55,18.0,,,,14.0,19.0,,,,19.0,,8,,,,114
56,18.0,,,,14.0,19.0,,,,19.0,,8,,,,114
57,18.0,,,,14.0,19.0,,,,19.0,,8,,,,114
58,18.0,,,,14.0,19.0,,,,19.0,,8,,,,114
59,19.0,,,,15.0,19.0,,,,19.0,,9,,,,114
60,19.0,,,,15.0,19.0,,,,19.0,,9,,,,114
61,19.0,,,,15.0,19.0,,,,,,9,,,,114
62,19.0,,,,16.0,19.0,,,,,,9,,,,114
63,19.0,,,,16.0,19.0,,,,,,9,,,,114
64,19.0,,,,16.0,19.0,,,,,,9,,,,114
65,19.0,,,,17.0,19.0,,,,,,9,,,,114
66,19.0,,,,17.0,19.0,,,,,,9,,,,114
67,19.0,,,,18.0,19.0,,,,,,10,,,,114
68,19.0,,,,18.0,19.0,,,,,,10,,,,114
69,,,,,19.0,,,,,,,10,,,,114
70,,,,,19.0,,,,,,,10,,,,114
71,,,,,19.0,,,,,,,10,,,,114
72,,,,,19.0,,,,,,,10,,,,114
73,,,,,19.0,,,,,,,10,,,,114
74,,,,,19.0,,,,,,,11,,,,114
75,,,,,19.0,,,,,,,11,,,,114
76,,,,,19.0,,,,,,,11,,,,114
77,,,,,19.0,,,,,,,11,,,,114
78,,,,,19.0,,,,,,,11,,,,114
79,,,,,19.0,,,,,,,12,,,,114
80,,,,,19.0,,,,,,,12,,,,114
81,,,,,19.0,,,,,,,12,,,,114
82,,,,,19.0,,,,,,,12,,,,114
83,,,,,19.0,,,,,,,12,,,,114
84,,,,,19.0,,,,,,,12,,,,114
85,,,,,19.0,,,,,,,13,,,,114
86,,,,,19.0,,,,,,,13,,,,114
87,,,,,19.0,,,,,,,13,,,,114
88,,,,,19.0,,,,,,,13,,,,114
89,,,,,19.0,,,,,,,13,,,,114
90,,,,,19.0,,,,,,,14,,,,114
91,,,,,19.0,,,,,,,14,,,,114
92,,,,,19.0,,,,,,,14,,,,114
93,,,,,19.0,,,,,,,14,,,,114
94,,,,,19.0,,,,,,,14,,,,114
95,,,,,19.0,,,,,,,15,,,,114
96,,,,,19.0,,,,,,,15,,,,114
97,,,,,19.0,,,,,,,15,,,,114
98,,,,,19.0,,,,,,,15,,,,114
99,,,,,19.0,,,,,,,15,,,,114
100,,,,,19.0,,,,,,,16,,,,114
101,,,,,19.0,,,,,,,16,,,,114
102,,,,,19.0,,,,,,,16,,,,114
103,,,,,19.0,,,,,,,16,,,,114
104,,,,,19.0,,,,,,,16,,,,114
105,,,,,19.0,,,,,,,16,,,,114
106,,,,,19.0,,,,,,,17,,,,114
107,,,,,19.0,,,,,,,17,,,,114
108,,,,,19.0,,,,,,,17,,,,114
109,,,,,19.0,,,,,,,17,,,,114
110,,,,,19.0,,,,,,,17,,,,114
111,,,,,19.0,,,,,,,18,,,,114
112,,,,,19.0,,,,,,,18,,,,114
113,,,,,19.0,,,,,,,18,,,,114
114,,,,,19.0,,,,,,,18,,,,114
115,,,,,19.0,,,,,,,18,,,,114
116,,,,,19.0,,,,,,,18,,,,114
117,,,,,19.0,,,,,,,18,,,,114
118,,,,,19.0,,,,,,,18,,,,114
119,,,,,19.0,,,,,,,18,,,,114
120,,,,,,,,,,,,18,,,,114
121,,,,,,,,,,,,18,,,,114
122,,,,,,,,,,,,19,,,,114
123,,,,,,,,,,,,19,,,,114
124,,,,,,,,,,,,19,,,,114
125,,,,,,,,,,,,19,,,,114
126,,,,,,,,,,,,19,,,,114
127,,,,,,,,,,,,19,,,,114
128,,,,,,,,,,,,19,,,,114
129,,,,,,,,,,,,19,,,,114
130,,,,,,,,,,,,19,,,,114
131,,,,,,,,,,,,19,,,,114
132,,,,,,,,,,,,19,,,,114
133,,,,,,,,,,,,19,,,,114
134,,,,,,,,,,,,19,,,,114
135,,,,,,,,,,,,19,,,,114
136,,,,,,,,,,,,19,,,,114
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,120
1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,120
2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,120
3,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,3.0,120
4,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,4.0,120
5,4.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1,1.0,2.0,4.0,120
6,4.0,5.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1,2.0,3.0,5.0,120
7,5.0,6.0,3.0,3.0,1.0,1.0,5.0,4.0,2.0,3.0,1.0,1,3.0,3.0,5.0,120
8,5.0,6.0,4.0,4.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1,4.0,3.0,6.0,120
9,5.0,6.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,1,5.0,4.0,6.0,120
10,5.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,5.0,4.0,2.0,1,6.0,4.0,7.0,120
11,6.0,7.0,7.0,6.0,1.0,2.0,6.0,6.0,6.0,5.0,3.0,1,6.0,4.0,8.0,120
12,6.0,7.0,8.0,7.0,2.0,2.0,6.0,6.0,6.0,5.0,3.0,1,7.0,5.0,9.0,120
13,6.0,7.0,9.0,7.0,2.0,3.0,7.0,6.0,7.0,6.0,4.0,1,7.0,5.0,10.0,120
14,6.0,7.0,10.0,7.0,3.0,3.0,8.0,7.0,7.0,6.0,4.0,1,8.0,5.0,11.0,120
15,6.0,8.0,10.0,8.0,3.0,4.0,9.0,7.0,7.0,7.0,5.0,1,9.0,6.0,12.0,120
16,6.0,8.0,11.0,9.0,3.0,4.0,10.0,7.0,7.0,7.0,5.0,1,10.0,6.0,13.0,120
17,6.0,9.0,12.0,10.0,3.0,5.0,11.0,8.0,8.0,8.0,6.0,1,11.0,6.0,14.0,120
18,7.0,9.0,12.0,11.0,4.0,5.0,12.0,9.0,9.0,9.0,7.0,1,12.0,7.0,15.0,120
19,7.0,10.0,13.0,12.0,4.0,6.0,13.0,10.0,10.0,9.0,7.0,1,13.0,8.0,16.0,120
20,7.0,10.0,14.0,13.0,4.0,6.0,14.0,10.0,10.0,10.0,8.0,2,14.0,9.0,17.0,120
21,7.0,10.0,15.0,13.0,4.0,6.0,15.0,10.0,11.0,10.0,9.0,2,15.0,9.0,17.0,120
22,8.0,11.0,16.0,14.0,5.0,7.0,16.0,11.0,11.0,10.0,9.0,2,16.0,10.0,18.0,120
23,8.0,11.0,17.0,15.0,5.0,7.0,17.0,12.0,12.0,11.0,10.0,2,17.0,11.0,19.0,120
24,8.0,12.0,18.0,16.0,5.0,7.0,18.0,12.0,12.0,11.0,10.0,2,18.0,12.0,19.0,120
25,9.0,12.0,19.0,17.0,5.0,8.0,19.0,13.0,13.0,12.0,11.0,3,18.0,13.0,,120
26,9.0,12.0,19.0,18.0,6.0,8.0,19.0,14.0,13.0,12.0,11.0,3,19.0,14.0,,120
27,9.0,13.0,19.0,19.0,6.0,9.0,19.0,15.0,14.0,13.0,12.0,3,19.0,15.0,,120
