Puntuaci√≥n natural,DC,SE,RD,CD,CL,VB,NL,MT,CM,BS,FI,RG,IN,AR,PC,Edad (meses)
28,9.0,14.0,19.0,19.0,6.0,9.0,19.0,16.0,15.0,13.0,12.0,3,19.0,16.0,,120
29,10.0,15.0,19.0,,7.0,9.0,19.0,17.0,16.0,13.0,13.0,3,19.0,17.0,,120
30,10.0,16.0,19.0,,7.0,10.0,19.0,18.0,17.0,13.0,14.0,4,19.0,18.0,,120
31,10.0,16.0,19.0,,7.0,10.0,,19.0,18.0,14.0,15.0,4,19.0,19.0,,120
32,10.0,17.0,19.0,,7.0,10.0,,19.0,18.0,14.0,16.0,4,19.0,19.0,,120
33,10.0,17.0,,,7.0,10.0,,19.0,19.0,15.0,17.0,4,19.0,19.0,,120
34,11.0,18.0,,,8.0,11.0,,19.0,19.0,15.0,18.0,4,,19.0,,120
35,11.0,18.0,,,8.0,11.0,,19.0,19.0,16.0,19.0,4,,,,120
36,11.0,19.0,,,8.0,12.0,,,19.0,16.0,19.0,5,,,,120
37,11.0,19.0,,,9.0,12.0,,,19.0,17.0,19.0,5,,,,120
38,12.0,19.0,,,9.0,13.0,,,19.0,17.0,19.0,5,,,,120
39,12.0,19.0,,,10.0,13.0,,,19.0,18.0,,5,,,,120
40,12.0,19.0,,,10.0,13.0,,,19.0,19.0,,5,,,,120
41,13.0,19.0,,,10.0,13.0,,,19.0,19.0,,5,,,,120
42,13.0,19.0,,,10.0,14.0,,,19.0,19.0,,5,,,,120
43,13.0,19.0,,,10.0,14.0,,,,19.0,,6,,,,120
44,13.0,19.0,,,11.0,15.0,,,,19.0,,6,,,,120
45,13.0,,,,11.0,15.0,,,,19.0,,6,,,,120
46,14.0,,,,12.0,16.0,,,,19.0,,6,,,,120
47,14.0,,,,12.0,16.0,,,,19.0,,6,,,,120
48,14.0,,,,12.0,17.0,,,,19.0,,6,,,,120
49,15.0,,,,13.0,17.0,,,,19.0,,6,,,,120
50,15.0,,,,13.0,18.0,,,,19.0,,7,,,,120
51,16.0,,,,13.0,18.0,,,,19.0,,7,,,,120
52,17.0,,,,13.0,18.0,,,,19.0,,7,,,,120
53,17.0,,,,13.0,19.0,,,,19.0,,7,,,,120
54,17.0,,,,14.0,19.0,,,,19.0,,7,,,,120
55,18.0,,,,14.0,19.0,,,,19.0,,7,,,,120
56,18.0,,,,14.0,19.0,,,,19.0,,8,,,,120
57,18.0,,,,14.0,19.0,,,,19.0,,8,,,,120
58,18.0,,,,14.0,19.0,,,,19.0,,8,,,,120
59,19.0,,,,15.0,19.0,,,,19.0,,8,,,,120
60,19.0,,,,15.0,19.0,,,,19.0,,8,,,,120
61,19.0,,,,15.0,19.0,,,,,,8,,,,120
62,19.0,,,,16.0,19.0,,,,,,9,,,,120
63,19.0,,,,16.0,19.0,,,,,,9,,,,120
64,19.0,,,,16.0,19.0,,,,,,9,,,,120
65,19.0,,,,17.0,19.0,,,,,,9,,,,120
66,19.0,,,,17.0,19.0,,,,,,9,,,,120
67,19.0,,,,18.0,19.0,,,,,,9,,,,120
68,19.0,,,,18.0,19.0,,,,,,9,,,,120
69,,,,,19.0,,,,,,,10,,,,120
70,,,,,19.0,,,,,,,10,,,,120
71,,,,,19.0,,,,,,,10,,,,120
72,,,,,19.0,,,,,,,10,,,,120
73,,,,,19.0,,,,,,,10,,,,120
74,,,,,19.0,,,,,,,10,,,,120
75,,,,,19.0,,,,,,,11,,,,120
76,,,,,19.0,,,,,,,11,,,,120
77,,,,,19.0,,,,,,,11,,,,120
78,,,,,19.0,,,,,,,11,,,,120
79,,,,,19.0,,,,,,,11,,,,120
80,,,,,19.0,,,,,,,12,,,,120
81,,,,,19.0,,,,,,,12,,,,120
82,,,,,19.0,,,,,,,12,,,,120
83,,,,,19.0,,,,,,,12,,,,120
84,,,,,19.0,,,,,,,12,,,,120
85,,,,,19.0,,,,,,,12,,,,120
86,,,,,19.0,,,,,,,13,,,,120
87,,,,,19.0,,,,,,,13,,,,120
88,,,,,19.0,,,,,,,13,,,,120
89,,,,,19.0,,,,,,,13,,,,120
90,,,,,19.0,,,,,,,13,,,,120
91,,,,,19.0,,,,,,,13,,,,120
92,,,,,19.0,,,,,,,13,,,,120
93,,,,,19.0,,,,,,,14,,,,120
94,,,,,19.0,,,,,,,14,,,,120
95,,,,,19.0,,,,,,,14,,,,120
96,,,,,19.0,,,,,,,14,,,,120
97,,,,,19.0,,,,,,,15,,,,120
98,,,,,19.0,,,,,,,15,,,,120
99,,,,,19.0,,,,,,,15,,,,120
100,,,,,19.0,,,,,,,16,,,,120
101,,,,,19.0,,,,,,,16,,,,120
102,,,,,19.0,,,,,,,16,,,,120
103,,,,,19.0,,,,,,,16,,,,120
104,,,,,19.0,,,,,,,16,,,,120
105,,,,,19.0,,,,,,,16,,,,120
106,,,,,19.0,,,,,,,17,,,,120
107,,,,,19.0,,,,,,,17,,,,120
108,,,,,19.0,,,,,,,17,,,,120
109,,,,,19.0,,,,,,,17,,,,120
110,,,,,19.0,,,,,,,17,,,,120
111,,,,,19.0,,,,,,,18,,,,120
112,,,,,19.0,,,,,,,18,,,,120
113,,,,,19.0,,,,,,,18,,,,120
114,,,,,19.0,,,,,,,18,,,,120
115,,,,,19.0,,,,,,,18,,,,120
116,,,,,19.0,,,,,,,18,,,,120
117,,,,,19.0,,,,,,,18,,,,120
118,,,,,19.0,,,,,,,18,,,,120
119,,,,,19.0,,,,,,,18,,,,120
120,,,,,,,,,,,,18,,,,120
121,,,,,,,,,,,,18,,,,120
122,,,,,,,,,,,,19,,,,120
123,,,,,,,,,,,,19,,,,120
124,,,,,,,,,,,,19,,,,120
125,,,,,,,,,,,,19,,,,120
126,,,,,,,,,,,,19,,,,120
127,,,,,,,,,,,,19,,,,120
128,,,,,,,,,,,,19,,,,120
129,,,,,,,,,,,,19,,,,120
130,,,,,,,,,,,,19,,,,120
131,,,,,,,,,,,,19,,,,120
132,,,,,,,,,,,,19,,,,120
133,,,,,,,,,,,,19,,,,120
134,,,,,,,,,,,,19,,,,120
135,,,,,,,,,,,,19,,,,120
136,,,,,,,,,,,,19,,,,120
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,126
1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,126
2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,126
3,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,3.0,126
4,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,4.0,126
5,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1,1.0,2.0,4.0,126
6,4.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1,2.0,3.0,5.0,126
7,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,1,3.0,3.0,5.0,126
8,5.0,6.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,3.0,1.0,1,4.0,3.0,6.0,126
9,5.0,6.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,1,5.0,4.0,6.0,126
10,5.0,6.0,6.0,5.0,1.0,1.0,6.0,5.0,5.0,4.0,2.0,1,5.0,4.0,7.0,126
11,6.0,6.0,7.0,6.0,1.0,2.0,6.0,6.0,5.0,5.0,3.0,1,6.0,4.0,8.0,126
12,6.0,7.0,8.0,6.0,1.0,2.0,6.0,6.0,6.0,5.0,3.0,1,6.0,5.0,9.0,126
13,6.0,7.0,9.0,7.0,1.0,3.0,7.0,6.0,6.0,6.0,4.0,1,7.0,5.0,10.0,126
14,6.0,7.0,10.0,7.0,1.0,3.0,8.0,6.0,6.0,6.0,4.0,1,7.0,5.0,11.0,126
15,6.0,8.0,10.0,8.0,1.0,4.0,9.0,7.0,7.0,7.0,5.0,1,8.0,6.0,12.0,126
16,6.0,8.0,11.0,9.0,2.0,4.0,10.0,7.0,7.0,7.0,5.0,1,9.0,6.0,13.0,126
17,6.0,9.0,12.0,10.0,2.0,5.0,11.0,7.0,7.0,8.0,6.0,1,10.0,6.0,14.0,126
18,6.0,9.0,12.0,11.0,2.0,5.0,12.0,8.0,8.0,8.0,7.0,1,11.0,7.0,15.0,126
19,7.0,10.0,13.0,12.0,2.0,6.0,12.0,9.0,9.0,9.0,7.0,1,12.0,8.0,16.0,126
20,7.0,10.0,14.0,13.0,2.0,6.0,13.0,10.0,10.0,9.0,7.0,1,13.0,8.0,17.0,126
21,7.0,10.0,15.0,13.0,2.0,6.0,14.0,10.0,10.0,10.0,8.0,1,14.0,9.0,17.0,126
22,8.0,11.0,16.0,14.0,3.0,6.0,15.0,11.0,10.0,10.0,9.0,1,15.0,9.0,18.0,126
23,8.0,11.0,17.0,15.0,3.0,7.0,16.0,12.0,11.0,10.0,10.0,1,16.0,10.0,18.0,126
24,8.0,12.0,18.0,16.0,3.0,7.0,17.0,12.0,11.0,11.0,10.0,2,17.0,11.0,19.0,126
25,9.0,12.0,19.0,17.0,4.0,7.0,18.0,13.0,12.0,11.0,10.0,2,18.0,12.0,,126
26,9.0,12.0,19.0,18.0,4.0,7.0,19.0,14.0,13.0,12.0,11.0,2,18.0,13.0,,126
27,9.0,13.0,19.0,19.0,4.0,7.0,19.0,15.0,13.0,12.0,12.0,2,18.0,14.0,,126
28,9.0,14.0,19.0,19.0,5.0,8.0,19.0,16.0,13.0,13.0,12.0,3,19.0,15.0,,126
29,10.0,15.0,19.0,,5.0,8.0,19.0,17.0,14.0,13.0,13.0,3,19.0,16.0,,126
30,10.0,16.0,19.0,,6.0,9.0,19.0,18.0,15.0,13.0,14.0,3,19.0,17.0,,126
31,10.0,16.0,19.0,,6.0,9.0,,19.0,16.0,14.0,15.0,3,19.0,18.0,,126
32,10.0,17.0,19.0,,6.0,10.0,,19.0,17.0,14.0,16.0,4,19.0,19.0,,126
33,10.0,17.0,,,7.0,10.0,,19.0,18.0,15.0,17.0,4,19.0,19.0,,126
34,11.0,18.0,,,7.0,10.0,,19.0,18.0,15.0,18.0,4,,19.0,,126
35,11.0,18.0,,,7.0,11.0,,19.0,19.0,16.0,19.0,4,,,,126
36,11.0,18.0,,,7.0,11.0,,,19.0,16.0,19.0,4,,,,126
37,11.0,18.0,,,7.0,11.0,,,19.0,17.0,19.0,4,,,,126
38,12.0,18.0,,,8.0,12.0,,,19.0,17.0,19.0,4,,,,126
39,12.0,19.0,,,8.0,12.0,,,19.0,18.0,,5,,,,126
40,12.0,19.0,,,9.0,13.0,,,19.0,18.0,,5,,,,126
41,12.0,19.0,,,9.0,13.0,,,19.0,18.0,,5,,,,126
42,12.0,19.0,,,10.0,13.0,,,19.0,19.0,,5,,,,126
43,13.0,19.0,,,10.0,13.0,,,,19.0,,5,,,,126
44,13.0,19.0,,,10.0,14.0,,,,19.0,,5,,,,126
45,13.0,,,,10.0,14.0,,,,19.0,,6,,,,126
46,13.0,,,,10.0,14.0,,,,19.0,,6,,,,126
47,13.0,,,,10.0,15.0,,,,19.0,,6,,,,126
48,14.0,,,,11.0,15.0,,,,19.0,,6,,,,126
49,15.0,,,,11.0,15.0,,,,19.0,,6,,,,126
50,15.0,,,,11.0,16.0,,,,19.0,,6,,,,126
51,16.0,,,,12.0,16.0,,,,19.0,,6,,,,126
52,16.0,,,,12.0,17.0,,,,19.0,,6,,,,126
53,17.0,,,,13.0,17.0,,,,19.0,,7,,,,126
54,17.0,,,,13.0,18.0,,,,19.0,,7,,,,126
55,17.0,,,,13.0,19.0,,,,19.0,,7,,,,126
56,18.0,,,,13.0,19.0,,,,19.0,,7,,,,126
57,18.0,,,,13.0,19.0,,,,19.0,,7,,,,126
58,18.0,,,,13.0,19.0,,,,19.0,,7,,,,126
59,18.0,,,,14.0,19.0,,,,19.0,,7,,,,126
60,19.0,,,,14.0,19.0,,,,19.0,,8,,,,126
61,19.0,,,,14.0,19.0,,,,,,8,,,,126
62,19.0,,,,14.0,19.0,,,,,,8,,,,126
63,19.0,,,,15.0,19.0,,,,,,8,,,,126
64,19.0,,,,15.0,19.0,,,,,,8,,,,126
65,19.0,,,,15.0,19.0,,,,,,8,,,,126
66,19.0,,,,15.0,19.0,,,,,,9,,,,126
67,19.0,,,,15.0,19.0,,,,,,9,,,,126
68,19.0,,,,16.0,19.0,,,,,,9,,,,126
69,,,,,16.0,,,,,,,9,,,,126
70,,,,,16.0,,,,,,,9,,,,126
71,,,,,17.0,,,,,,,9,,,,126
72,,,,,17.0,,,,,,,9,,,,126
73,,,,,17.0,,,,,,,10,,,,126
74,,,,,18.0,,,,,,,10,,,,126
75,,,,,18.0,,,,,,,10,,,,126
76,,,,,18.0,,,,,,,10,,,,126
77,,,,,18.0,,,,,,,10,,,,126
78,,,,,19.0,,,,,,,10,,,,126
79,,,,,19.0,,,,,,,10,,,,126
80,,,,,19.0,,,,,,,11,,,,126
81,,,,,19.0,,,,,,,11,,,,126
82,,,,,19.0,,,,,,,11,,,,126
83,,,,,19.0,,,,,,,11,,,,126
84,,,,,19.0,,,,,,,11,,,,126
85,,,,,19.0,,,,,,,11,,,,126
86,,,,,19.0,,,,,,,12,,,,126
87,,,,,19.0,,,,,,,12,,,,126
88,,,,,19.0,,,,,,,12,,,,126
89,,,,,19.0,,,,,,,12,,,,126
90,,,,,19.0,,,,,,,12,,,,126
91,,,,,19.0,,,,,,,12,,,,126
92,,,,,19.0,,,,,,,13,,,,126
93,,,,,19.0,,,,,,,13,,,,126
94,,,,,19.0,,,,,,,13,,,,126
95,,,,,19.0,,,,,,,13,,,,126
96,,,,,19.0,,,,,,,13,,,,126
97,,,,,19.0,,,,,,,13,,,,126
98,,,,,19.0,,,,,,,14,,,,126
99,,,,,19.0,,,,,,,14,,,,126
100,,,,,19.0,,,,,,,14,,,,126
101,,,,,19.0,,,,,,,14,,,,126
102,,,,,19.0,,,,,,,15,,,,126
103,,,,,19.0,,,,,,,15,,,,126
104,,,,,19.0,,,,,,,15,,,,126
105,,,,,19.0,,,,,,,15,,,,126
106,,,,,19.0,,,,,,,15,,,,126
107,,,,,19.0,,,,,,,15,,,,126
108,,,,,19.0,,,,,,,16,,,,126
109,,,,,19.0,,,,,,,16,,,,126
110,,,,,19.0,,,,,,,16,,,,126
111,,,,,19.0,,,,,,,16,,,,126
112,,,,,19.0,,,,,,,16,,,,126
113,,,,,19.0,,,,,,,17,,,,126
114,,,,,19.0,,,,,,,17,,,,126
115,,,,,19.0,,,,,,,17,,,,126
116,,,,,19.0,,,,,,,17,,,,126
117,,,,,19.0,,,,,,,17,,,,126
118,,,,,19.0,,,,,,,18,,,,126
119,,,,,19.0,,,,,,,18,,,,126
120,,,,,,,,,,,,18,,,,126
121,,,,,,,,,,,,18,,,,126
122,,,,,,,,,,,,18,,,,126
123,,,,,,,,,,,,18,,,,126
124,,,,,,,,,,,,18,,,,126
125,,,,,,,,,,,,19,,,,126
126,,,,,,,,,,,,19,,,,126
127,,,,,,,,,,,,19,,,,126
128,,,,,,,,,,,,19,,,,126
129,,,,,,,,,,,,19,,,,126
130,,,,,,,,,,,,19,,,,126
131,,,,,,,,,,,,19,,,,126
132,,,,,,,,,,,,19,,,,126
133,,,,,,,,,,,,19,,,,126
134,,,,,,,,,,,,19,,,,126
135,,,,,,,,,,,,19,,,,126
136,,,,,,,,,,,,19,,,,126
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,132
1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,132
2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,132
3,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,3.0,132
4,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,4.0,132
5,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,4.0,132
6,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,5.0,132
7,2.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1,1.0,2.0,5.0,132
8,2.0,5.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1,2.0,3.0,5.0,132
9,3.0,5.0,5.0,5.0,1.0,1.0,5.0,4.0,4.0,2.0,1.0,1,3.0,3.0,6.0,132
10,3.0,6.0,6.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,1,4.0,3.0,6.0,132
11,4.0,6.0,6.0,6.0,1.0,1.0,6.0,5.0,5.0,3.0,2.0,1,5.0,4.0,6.0,132
12,4.0,6.0,7.0,6.0,1.0,2.0,6.0,6.0,6.0,4.0,2.0,1,6.0,4.0,7.0,132
13,5.0,6.0,7.0,6.0,1.0,2.0,7.0,6.0,6.0,4.0,3.0,1,6.0,5.0,8.0,132
14,5.0,7.0,8.0,7.0,1.0,3.0,8.0,6.0,6.0,5.0,3.0,1,7.0,5.0,9.0,132
15,5.0,7.0,9.0,8.0,1.0,3.0,9.0,7.0,7.0,5.0,4.0,1,7.0,5.0,10.0,132
16,6.0,7.0,10.0,9.0,1.0,4.0,10.0,7.0,7.0,6.0,5.0,1,8.0,6.0,11.0,132
17,6.0,8.0,11.0,10.0,1.0,4.0,11.0,7.0,7.0,6.0,6.0,1,9.0,6.0,12.0,132
18,6.0,8.0,12.0,11.0,2.0,5.0,12.0,8.0,8.0,7.0,7.0,1,10.0,7.0,13.0,132
19,6.0,9.0,13.0,12.0,2.0,5.0,12.0,9.0,8.0,7.0,7.0,1,11.0,7.0,14.0,132
20,6.0,9.0,14.0,12.0,2.0,5.0,13.0,9.0,8.0,7.0,7.0,1,12.0,7.0,15.0,132
21,7.0,10.0,15.0,12.0,2.0,5.0,14.0,10.0,9.0,8.0,8.0,1,13.0,8.0,16.0,132
22,7.0,10.0,16.0,13.0,3.0,6.0,15.0,10.0,9.0,9.0,8.0,1,14.0,9.0,17.0,132
23,7.0,11.0,17.0,14.0,3.0,6.0,16.0,11.0,9.0,10.0,9.0,1,15.0,10.0,18.0,132
24,7.0,11.0,18.0,15.0,3.0,6.0,17.0,12.0,10.0,10.0,9.0,1,16.0,11.0,19.0,132
25,8.0,12.0,19.0,16.0,4.0,6.0,18.0,13.0,11.0,10.0,9.0,1,17.0,12.0,,132
26,8.0,12.0,19.0,17.0,4.0,6.0,19.0,14.0,11.0,11.0,10.0,1,18.0,13.0,,132
27,8.0,13.0,19.0,18.0,4.0,7.0,19.0,15.0,12.0,12.0,11.0,1,18.0,14.0,,132
28,8.0,13.0,19.0,19.0,5.0,7.0,19.0,16.0,13.0,13.0,12.0,2,19.0,15.0,,132
29,9.0,14.0,19.0,,5.0,7.0,19.0,17.0,14.0,13.0,13.0,2,19.0,16.0,,132
30,9.0,14.0,19.0,,5.0,8.0,19.0,18.0,15.0,13.0,14.0,2,19.0,17.0,,132
31,9.0,15.0,19.0,,5.0,8.0,,19.0,16.0,13.0,15.0,3,19.0,18.0,,132
32,9.0,15.0,19.0,,6.0,9.0,,19.0,17.0,14.0,16.0,3,19.0,19.0,,132
33,10.0,16.0,,,6.0,9.0,,19.0,18.0,15.0,17.0,3,19.0,19.0,,132
34,10.0,16.0,,,6.0,10.0,,19.0,18.0,15.0,18.0,4,,19.0,,132
35,10.0,17.0,,,6.0,10.0,,19.0,19.0,16.0,18.0,4,,,,132
36,10.0,17.0,,,6.0,10.0,,,19.0,16.0,19.0,4,,,,132
37,10.0,18.0,,,7.0,11.0,,,19.0,17.0,19.0,4,,,,132
38,10.0,18.0,,,7.0,11.0,,,19.0,17.0,19.0,4,,,,132
39,10.0,19.0,,,7.0,11.0,,,19.0,18.0,,5,,,,132
40,11.0,19.0,,,7.0,12.0,,,19.0,18.0,,5,,,,132
41,11.0,19.0,,,8.0,12.0,,,19.0,18.0,,5,,,,132
42,11.0,19.0,,,8.0,12.0,,,19.0,19.0,,5,,,,132
43,12.0,19.0,,,9.0,13.0,,,,19.0,,5,,,,132
44,12.0,19.0,,,9.0,13.0,,,,19.0,,5,,,,132
45,12.0,,,,10.0,14.0,,,,19.0,,6,,,,132
46,12.0,,,,10.0,14.0,,,,19.0,,6,,,,132
47,13.0,,,,10.0,15.0,,,,19.0,,6,,,,132
48,13.0,,,,10.0,15.0,,,,19.0,,6,,,,132
49,13.0,,,,10.0,15.0,,,,19.0,,6,,,,132
50,13.0,,,,11.0,16.0,,,,19.0,,6,,,,132
51,13.0,,,,11.0,16.0,,,,19.0,,6,,,,132
52,14.0,,,,11.0,17.0,,,,19.0,,6,,,,132
53,14.0,,,,11.0,17.0,,,,19.0,,6,,,,132
54,14.0,,,,12.0,18.0,,,,19.0,,6,,,,132
55,15.0,,,,12.0,19.0,,,,19.0,,6,,,,132
56,15.0,,,,12.0,19.0,,,,19.0,,6,,,,132
57,16.0,,,,12.0,19.0,,,,19.0,,7,,,,132
58,17.0,,,,13.0,19.0,,,,19.0,,7,,,,132
59,18.0,,,,13.0,19.0,,,,19.0,,7,,,,132
60,19.0,,,,13.0,19.0,,,,19.0,,7,,,,132
61,19.0,,,,14.0,19.0,,,,,,7,,,,132
62,19.0,,,,14.0,19.0,,,,,,7,,,,132
63,19.0,,,,14.0,19.0,,,,,,8,,,,132
64,19.0,,,,15.0,19.0,,,,,,8,,,,132
65,19.0,,,,15.0,19.0,,,,,,8,,,,132
66,19.0,,,,15.0,19.0,,,,,,8,,,,132
67,19.0,,,,15.0,19.0,,,,,,8,,,,132
68,19.0,,,,16.0,19.0,,,,,,8,,,,132
69,,,,,16.0,,,,,,,8,,,,132
70,,,,,16.0,,,,,,,9,,,,132
71,,,,,17.0,,,,,,,9,,,,132
72,,,,,17.0,,,,,,,9,,,,132
73,,,,,17.0,,,,,,,9,,,,132
74,,,,,18.0,,,,,,,9,,,,132
75,,,,,18.0,,,,,,,9,,,,132
76,,,,,18.0,,,,,,,9,,,,132
77,,,,,18.0,,,,,,,9,,,,132
78,,,,,18.0,,,,,,,9,,,,132
79,,,,,18.0,,,,,,,10,,,,132
80,,,,,19.0,,,,,,,10,,,,132
81,,,,,19.0,,,,,,,10,,,,132
82,,,,,19.0,,,,,,,10,,,,132
83,,,,,19.0,,,,,,,10,,,,132
84,,,,,19.0,,,,,,,10,,,,132
85,,,,,19.0,,,,,,,11,,,,132
86,,,,,19.0,,,,,,,11,,,,132
87,,,,,19.0,,,,,,,11,,,,132
88,,,,,19.0,,,,,,,11,,,,132
89,,,,,19.0,,,,,,,12,,,,132
90,,,,,19.0,,,,,,,12,,,,132
91,,,,,19.0,,,,,,,12,,,,132
92,,,,,19.0,,,,,,,12,,,,132
93,,,,,19.0,,,,,,,13,,,,132
94,,,,,19.0,,,,,,,13,,,,132
95,,,,,19.0,,,,,,,13,,,,132
96,,,,,19.0,,,,,,,13,,,,132
97,,,,,19.0,,,,,,,13,,,,132
98,,,,,19.0,,,,,,,13,,,,132
99,,,,,19.0,,,,,,,14,,,,132
100,,,,,19.0,,,,,,,14,,,,132
101,,,,,19.0,,,,,,,14,,,,132
102,,,,,19.0,,,,,,,15,,,,132
103,,,,,19.0,,,,,,,15,,,,132
104,,,,,19.0,,,,,,,15,,,,132
105,,,,,19.0,,,,,,,15,,,,132
106,,,,,19.0,,,,,,,15,,,,132
107,,,,,19.0,,,,,,,15,,,,132
