Puntuaci√≥n natural,DC,SE,RD,CD,CL,VB,NL,MT,CM,BS,FI,RG,IN,AR,PC,Edad (meses)
108,,,,,19.0,,,,,,,16,,,,132
109,,,,,19.0,,,,,,,16,,,,132
110,,,,,19.0,,,,,,,16,,,,132
111,,,,,19.0,,,,,,,16,,,,132
112,,,,,19.0,,,,,,,16,,,,132
113,,,,,19.0,,,,,,,17,,,,132
114,,,,,19.0,,,,,,,17,,,,132
115,,,,,19.0,,,,,,,17,,,,132
116,,,,,19.0,,,,,,,17,,,,132
117,,,,,19.0,,,,,,,17,,,,132
118,,,,,19.0,,,,,,,18,,,,132
119,,,,,19.0,,,,,,,18,,,,132
120,,,,,,,,,,,,18,,,,132
121,,,,,,,,,,,,18,,,,132
122,,,,,,,,,,,,18,,,,132
123,,,,,,,,,,,,18,,,,132
124,,,,,,,,,,,,18,,,,132
125,,,,,,,,,,,,18,,,,132
126,,,,,,,,,,,,18,,,,132
127,,,,,,,,,,,,18,,,,132
128,,,,,,,,,,,,19,,,,132
129,,,,,,,,,,,,19,,,,132
130,,,,,,,,,,,,19,,,,132
131,,,,,,,,,,,,19,,,,132
132,,,,,,,,,,,,19,,,,132
133,,,,,,,,,,,,19,,,,132
134,,,,,,,,,,,,19,,,,132
135,,,,,,,,,,,,19,,,,132
136,,,,,,,,,,,,19,,,,132
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,144
1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,144
2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,144
3,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,3.0,144
4,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,4.0,144
5,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,4.0,144
6,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,5.0,144
7,2.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1,1.0,2.0,5.0,144
8,2.0,5.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1,2.0,3.0,6.0,144
9,3.0,5.0,5.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,1,3.0,3.0,6.0,144
10,3.0,5.0,6.0,3.0,1.0,1.0,5.0,5.0,2.0,3.0,1.0,1,4.0,3.0,6.0,144
11,4.0,6.0,6.0,4.0,1.0,1.0,6.0,5.0,3.0,3.0,2.0,1,5.0,4.0,6.0,144
12,4.0,6.0,7.0,5.0,1.0,1.0,6.0,6.0,4.0,4.0,2.0,1,6.0,4.0,7.0,144
13,5.0,6.0,7.0,6.0,1.0,1.0,7.0,6.0,5.0,4.0,3.0,1,6.0,5.0,8.0,144
14,5.0,6.0,8.0,7.0,1.0,1.0,8.0,6.0,5.0,5.0,3.0,1,7.0,5.0,9.0,144
15,5.0,6.0,9.0,8.0,1.0,1.0,9.0,7.0,6.0,5.0,4.0,1,7.0,5.0,10.0,144
16,6.0,7.0,9.0,9.0,1.0,2.0,9.0,7.0,6.0,6.0,5.0,1,8.0,6.0,11.0,144
17,6.0,7.0,10.0,9.0,1.0,2.0,9.0,7.0,7.0,6.0,5.0,1,9.0,6.0,12.0,144
18,6.0,8.0,11.0,10.0,1.0,2.0,10.0,7.0,7.0,7.0,6.0,1,9.0,7.0,13.0,144
19,6.0,8.0,12.0,11.0,1.0,3.0,11.0,8.0,7.0,7.0,6.0,1,10.0,7.0,14.0,144
20,6.0,9.0,13.0,12.0,1.0,3.0,12.0,8.0,8.0,7.0,6.0,1,11.0,7.0,15.0,144
21,6.0,9.0,14.0,12.0,1.0,4.0,13.0,9.0,8.0,8.0,7.0,1,12.0,8.0,16.0,144
22,6.0,10.0,15.0,13.0,2.0,4.0,14.0,9.0,9.0,8.0,8.0,1,13.0,9.0,17.0,144
23,6.0,10.0,16.0,14.0,2.0,5.0,15.0,10.0,9.0,9.0,9.0,1,14.0,10.0,18.0,144
24,7.0,10.0,17.0,15.0,2.0,5.0,16.0,10.0,9.0,9.0,9.0,1,15.0,11.0,19.0,144
25,7.0,10.0,18.0,16.0,3.0,6.0,17.0,11.0,10.0,9.0,9.0,1,16.0,12.0,,144
26,7.0,11.0,19.0,17.0,3.0,6.0,18.0,12.0,10.0,9.0,10.0,1,17.0,13.0,,144
27,7.0,11.0,19.0,18.0,3.0,7.0,19.0,13.0,11.0,10.0,11.0,1,18.0,14.0,,144
28,8.0,12.0,19.0,19.0,3.0,7.0,19.0,14.0,11.0,10.0,11.0,2,19.0,15.0,,144
29,8.0,13.0,19.0,,4.0,7.0,19.0,15.0,12.0,11.0,12.0,2,19.0,16.0,,144
30,8.0,13.0,19.0,,4.0,8.0,19.0,16.0,13.0,12.0,12.0,2,19.0,17.0,,144
31,8.0,13.0,19.0,,4.0,8.0,,17.0,13.0,13.0,13.0,3,19.0,18.0,,144
32,9.0,14.0,19.0,,5.0,8.0,,18.0,14.0,13.0,14.0,3,19.0,19.0,,144
33,9.0,15.0,,,5.0,9.0,,19.0,15.0,13.0,15.0,3,19.0,19.0,,144
34,9.0,15.0,,,5.0,9.0,,19.0,16.0,14.0,16.0,4,,19.0,,144
35,9.0,16.0,,,6.0,9.0,,19.0,17.0,15.0,17.0,4,,,,144
36,9.0,16.0,,,6.0,10.0,,,18.0,16.0,18.0,4,,,,144
37,9.0,17.0,,,7.0,10.0,,,19.0,17.0,19.0,4,,,,144
38,9.0,17.0,,,7.0,10.0,,,19.0,17.0,19.0,4,,,,144
39,10.0,18.0,,,7.0,10.0,,,19.0,18.0,,5,,,,144
40,10.0,18.0,,,7.0,11.0,,,19.0,18.0,,5,,,,144
41,10.0,19.0,,,8.0,11.0,,,19.0,18.0,,5,,,,144
42,10.0,19.0,,,8.0,12.0,,,19.0,19.0,,5,,,,144
43,11.0,19.0,,,8.0,12.0,,,,19.0,,5,,,,144
44,11.0,19.0,,,9.0,13.0,,,,19.0,,5,,,,144
45,11.0,,,,9.0,13.0,,,,19.0,,5,,,,144
46,11.0,,,,9.0,13.0,,,,19.0,,6,,,,144
47,12.0,,,,9.0,13.0,,,,19.0,,6,,,,144
48,12.0,,,,9.0,13.0,,,,19.0,,6,,,,144
49,12.0,,,,9.0,13.0,,,,19.0,,6,,,,144
50,12.0,,,,10.0,14.0,,,,19.0,,6,,,,144
51,13.0,,,,10.0,14.0,,,,19.0,,6,,,,144
52,13.0,,,,10.0,15.0,,,,19.0,,6,,,,144
53,13.0,,,,10.0,15.0,,,,19.0,,6,,,,144
54,13.0,,,,10.0,16.0,,,,19.0,,6,,,,144
55,14.0,,,,10.0,16.0,,,,19.0,,6,,,,144
56,15.0,,,,11.0,17.0,,,,19.0,,6,,,,144
57,16.0,,,,11.0,17.0,,,,19.0,,6,,,,144
58,17.0,,,,12.0,18.0,,,,19.0,,6,,,,144
59,18.0,,,,12.0,19.0,,,,19.0,,6,,,,144
60,19.0,,,,13.0,19.0,,,,19.0,,6,,,,144
61,19.0,,,,13.0,19.0,,,,,,6,,,,144
62,19.0,,,,13.0,19.0,,,,,,7,,,,144
63,19.0,,,,13.0,19.0,,,,,,7,,,,144
64,19.0,,,,13.0,19.0,,,,,,7,,,,144
65,19.0,,,,13.0,19.0,,,,,,7,,,,144
66,19.0,,,,14.0,19.0,,,,,,8,,,,144
67,19.0,,,,14.0,19.0,,,,,,8,,,,144
68,19.0,,,,14.0,19.0,,,,,,8,,,,144
69,,,,,15.0,,,,,,,8,,,,144
70,,,,,15.0,,,,,,,8,,,,144
71,,,,,16.0,,,,,,,8,,,,144
72,,,,,16.0,,,,,,,9,,,,144
73,,,,,16.0,,,,,,,9,,,,144
74,,,,,17.0,,,,,,,9,,,,144
75,,,,,17.0,,,,,,,9,,,,144
76,,,,,17.0,,,,,,,9,,,,144
77,,,,,18.0,,,,,,,9,,,,144
78,,,,,18.0,,,,,,,9,,,,144
79,,,,,18.0,,,,,,,9,,,,144
80,,,,,19.0,,,,,,,9,,,,144
81,,,,,19.0,,,,,,,10,,,,144
82,,,,,19.0,,,,,,,10,,,,144
83,,,,,19.0,,,,,,,10,,,,144
84,,,,,19.0,,,,,,,10,,,,144
85,,,,,19.0,,,,,,,10,,,,144
86,,,,,19.0,,,,,,,11,,,,144
87,,,,,19.0,,,,,,,11,,,,144
88,,,,,19.0,,,,,,,11,,,,144
89,,,,,19.0,,,,,,,11,,,,144
90,,,,,19.0,,,,,,,12,,,,144
91,,,,,19.0,,,,,,,12,,,,144
92,,,,,19.0,,,,,,,12,,,,144
93,,,,,19.0,,,,,,,12,,,,144
94,,,,,19.0,,,,,,,12,,,,144
95,,,,,19.0,,,,,,,12,,,,144
96,,,,,19.0,,,,,,,12,,,,144
97,,,,,19.0,,,,,,,12,,,,144
98,,,,,19.0,,,,,,,12,,,,144
99,,,,,19.0,,,,,,,12,,,,144
100,,,,,19.0,,,,,,,13,,,,144
101,,,,,19.0,,,,,,,13,,,,144
102,,,,,19.0,,,,,,,13,,,,144
103,,,,,19.0,,,,,,,13,,,,144
104,,,,,19.0,,,,,,,13,,,,144
105,,,,,19.0,,,,,,,13,,,,144
106,,,,,19.0,,,,,,,13,,,,144
107,,,,,19.0,,,,,,,13,,,,144
108,,,,,19.0,,,,,,,14,,,,144
109,,,,,19.0,,,,,,,14,,,,144
110,,,,,19.0,,,,,,,14,,,,144
111,,,,,19.0,,,,,,,14,,,,144
112,,,,,19.0,,,,,,,14,,,,144
113,,,,,19.0,,,,,,,15,,,,144
114,,,,,19.0,,,,,,,15,,,,144
115,,,,,19.0,,,,,,,15,,,,144
116,,,,,19.0,,,,,,,15,,,,144
117,,,,,19.0,,,,,,,15,,,,144
118,,,,,19.0,,,,,,,16,,,,144
119,,,,,19.0,,,,,,,16,,,,144
120,,,,,,,,,,,,16,,,,144
121,,,,,,,,,,,,17,,,,144
122,,,,,,,,,,,,17,,,,144
123,,,,,,,,,,,,17,,,,144
124,,,,,,,,,,,,17,,,,144
125,,,,,,,,,,,,18,,,,144
126,,,,,,,,,,,,18,,,,144
127,,,,,,,,,,,,18,,,,144
128,,,,,,,,,,,,19,,,,144
129,,,,,,,,,,,,19,,,,144
130,,,,,,,,,,,,19,,,,144
131,,,,,,,,,,,,19,,,,144
132,,,,,,,,,,,,19,,,,144
133,,,,,,,,,,,,19,,,,144
134,,,,,,,,,,,,19,,,,144
135,,,,,,,,,,,,19,,,,144
136,,,,,,,,,,,,19,,,,144
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,156
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,156
2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,156
3,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,156
4,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,3.0,156
5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,4.0,156
6,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,5.0,156
7,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1.0,2.0,5.0,156
8,2.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1,1.0,3.0,6.0,156
9,3.0,5.0,3.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1,1.0,3.0,6.0,156
10,3.0,5.0,4.0,3.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,1,2.0,3.0,6.0,156
11,4.0,6.0,5.0,4.0,1.0,1.0,5.0,5.0,1.0,3.0,2.0,1,3.0,4.0,6.0,156
12,4.0,6.0,6.0,5.0,1.0,1.0,5.0,5.0,2.0,4.0,2.0,1,4.0,4.0,7.0,156
13,5.0,6.0,7.0,6.0,1.0,1.0,6.0,6.0,3.0,4.0,3.0,1,5.0,5.0,8.0,156
14,5.0,6.0,8.0,7.0,1.0,1.0,6.0,6.0,4.0,5.0,3.0,1,6.0,5.0,9.0,156
15,5.0,6.0,9.0,8.0,1.0,1.0,7.0,6.0,5.0,5.0,4.0,1,7.0,5.0,10.0,156
16,6.0,7.0,9.0,9.0,1.0,2.0,8.0,6.0,6.0,6.0,5.0,1,8.0,6.0,11.0,156
17,6.0,7.0,10.0,9.0,1.0,2.0,9.0,7.0,6.0,6.0,5.0,1,9.0,6.0,12.0,156
18,6.0,8.0,11.0,10.0,1.0,3.0,10.0,7.0,7.0,6.0,6.0,1,9.0,7.0,13.0,156
19,6.0,8.0,12.0,11.0,1.0,3.0,11.0,7.0,7.0,6.0,6.0,1,10.0,7.0,14.0,156
20,6.0,9.0,13.0,11.0,1.0,3.0,12.0,8.0,7.0,7.0,6.0,1,11.0,7.0,15.0,156
21,6.0,9.0,14.0,12.0,1.0,4.0,13.0,9.0,8.0,7.0,7.0,1,12.0,8.0,16.0,156
22,6.0,9.0,15.0,13.0,2.0,4.0,14.0,9.0,8.0,7.0,8.0,1,12.0,9.0,17.0,156
23,6.0,10.0,16.0,14.0,2.0,5.0,15.0,10.0,9.0,8.0,8.0,1,13.0,9.0,18.0,156
24,7.0,10.0,17.0,15.0,2.0,5.0,16.0,10.0,9.0,8.0,9.0,1,14.0,9.0,19.0,156
25,7.0,10.0,18.0,16.0,3.0,6.0,17.0,11.0,9.0,9.0,9.0,1,15.0,10.0,,156
26,7.0,11.0,19.0,17.0,3.0,6.0,18.0,12.0,10.0,9.0,9.0,1,16.0,11.0,,156
27,7.0,11.0,19.0,18.0,3.0,7.0,19.0,13.0,11.0,9.0,9.0,1,17.0,12.0,,156
28,8.0,12.0,19.0,19.0,3.0,7.0,19.0,14.0,11.0,9.0,10.0,1,18.0,13.0,,156
29,8.0,13.0,19.0,,4.0,7.0,19.0,15.0,12.0,10.0,11.0,1,19.0,14.0,,156
30,8.0,13.0,19.0,,4.0,8.0,19.0,16.0,13.0,10.0,11.0,1,19.0,15.0,,156
31,8.0,13.0,19.0,,4.0,8.0,,17.0,13.0,11.0,12.0,1,19.0,16.0,,156
32,9.0,14.0,19.0,,5.0,8.0,,18.0,14.0,12.0,13.0,1,19.0,17.0,,156
33,9.0,15.0,,,5.0,9.0,,19.0,15.0,13.0,14.0,1,19.0,18.0,,156
34,9.0,15.0,,,5.0,9.0,,19.0,16.0,13.0,15.0,1,,19.0,,156
35,9.0,16.0,,,6.0,9.0,,19.0,17.0,13.0,16.0,1,,,,156
36,9.0,16.0,,,6.0,9.0,,,18.0,14.0,17.0,2,,,,156
37,9.0,17.0,,,7.0,10.0,,,18.0,14.0,18.0,2,,,,156
38,9.0,17.0,,,7.0,10.0,,,19.0,15.0,19.0,2,,,,156
39,9.0,18.0,,,7.0,10.0,,,19.0,15.0,,2,,,,156
40,10.0,18.0,,,7.0,10.0,,,19.0,16.0,,3,,,,156
41,10.0,19.0,,,8.0,11.0,,,19.0,16.0,,3,,,,156
42,10.0,19.0,,,8.0,11.0,,,19.0,17.0,,3,,,,156
43,10.0,19.0,,,8.0,12.0,,,,17.0,,3,,,,156
44,10.0,19.0,,,8.0,12.0,,,,18.0,,3,,,,156
45,10.0,,,,8.0,12.0,,,,18.0,,4,,,,156
46,11.0,,,,9.0,12.0,,,,19.0,,4,,,,156
47,11.0,,,,9.0,13.0,,,,19.0,,4,,,,156
48,12.0,,,,9.0,13.0,,,,19.0,,4,,,,156
49,12.0,,,,9.0,13.0,,,,19.0,,4,,,,156
50,12.0,,,,9.0,14.0,,,,19.0,,4,,,,156
51,13.0,,,,9.0,14.0,,,,19.0,,5,,,,156
52,13.0,,,,9.0,15.0,,,,19.0,,5,,,,156
53,13.0,,,,9.0,15.0,,,,19.0,,5,,,,156
54,13.0,,,,9.0,16.0,,,,19.0,,5,,,,156
55,14.0,,,,10.0,16.0,,,,19.0,,5,,,,156
56,14.0,,,,10.0,17.0,,,,19.0,,6,,,,156
57,15.0,,,,10.0,17.0,,,,19.0,,6,,,,156
58,15.0,,,,10.0,18.0,,,,19.0,,6,,,,156
59,16.0,,,,10.0,18.0,,,,19.0,,6,,,,156
60,17.0,,,,11.0,18.0,,,,19.0,,6,,,,156
61,18.0,,,,11.0,19.0,,,,,,6,,,,156
62,19.0,,,,11.0,19.0,,,,,,7,,,,156
63,19.0,,,,12.0,19.0,,,,,,7,,,,156
64,19.0,,,,12.0,19.0,,,,,,7,,,,156
65,19.0,,,,13.0,19.0,,,,,,7,,,,156
66,19.0,,,,13.0,19.0,,,,,,8,,,,156
67,19.0,,,,13.0,19.0,,,,,,8,,,,156
68,19.0,,,,13.0,19.0,,,,,,8,,,,156
69,,,,,13.0,,,,,,,8,,,,156
70,,,,,13.0,,,,,,,8,,,,156
71,,,,,14.0,,,,,,,8,,,,156
72,,,,,14.0,,,,,,,8,,,,156
73,,,,,14.0,,,,,,,9,,,,156
74,,,,,14.0,,,,,,,9,,,,156
75,,,,,15.0,,,,,,,9,,,,156
76,,,,,15.0,,,,,,,9,,,,156
77,,,,,15.0,,,,,,,9,,,,156
78,,,,,16.0,,,,,,,9,,,,156
79,,,,,16.0,,,,,,,9,,,,156
80,,,,,16.0,,,,,,,9,,,,156
81,,,,,17.0,,,,,,,9,,,,156
82,,,,,17.0,,,,,,,9,,,,156
83,,,,,18.0,,,,,,,9,,,,156
84,,,,,18.0,,,,,,,9,,,,156
85,,,,,19.0,,,,,,,10,,,,156
86,,,,,19.0,,,,,,,10,,,,156
87,,,,,19.0,,,,,,,10,,,,156
88,,,,,19.0,,,,,,,10,,,,156
89,,,,,19.0,,,,,,,10,,,,156
90,,,,,19.0,,,,,,,10,,,,156
91,,,,,19.0,,,,,,,10,,,,156
92,,,,,19.0,,,,,,,10,,,,156
93,,,,,19.0,,,,,,,11,,,,156
94,,,,,19.0,,,,,,,11,,,,156
95,,,,,19.0,,,,,,,11,,,,156
96,,,,,19.0,,,,,,,11,,,,156
97,,,,,19.0,,,,,,,12,,,,156
98,,,,,19.0,,,,,,,12,,,,156
99,,,,,19.0,,,,,,,12,,,,156
100,,,,,19.0,,,,,,,12,,,,156
101,,,,,19.0,,,,,,,12,,,,156
102,,,,,19.0,,,,,,,12,,,,156
103,,,,,19.0,,,,,,,12,,,,156
104,,,,,19.0,,,,,,,12,,,,156
105,,,,,19.0,,,,,,,13,,,,156
106,,,,,19.0,,,,,,,13,,,,156
107,,,,,19.0,,,,,,,13,,,,156
108,,,,,19.0,,,,,,,13,,,,156
109,,,,,19.0,,,,,,,13,,,,156
110,,,,,19.0,,,,,,,13,,,,156
111,,,,,19.0,,,,,,,13,,,,156
112,,,,,19.0,,,,,,,14,,,,156
113,,,,,19.0,,,,,,,14,,,,156
114,,,,,19.0,,,,,,,14,,,,156
115,,,,,19.0,,,,,,,14,,,,156
116,,,,,19.0,,,,,,,14,,,,156
117,,,,,19.0,,,,,,,14,,,,156
118,,,,,19.0,,,,,,,15,,,,156
119,,,,,19.0,,,,,,,15,,,,156
120,,,,,,,,,,,,15,,,,156
121,,,,,,,,,,,,15,,,,156
122,,,,,,,,,,,,15,,,,156
123,,,,,,,,,,,,16,,,,156
124,,,,,,,,,,,,16,,,,156
125,,,,,,,,,,,,16,,,,156
126,,,,,,,,,,,,17,,,,156
127,,,,,,,,,,,,17,,,,156
128,,,,,,,,,,,,18,,,,156
129,,,,,,,,,,,,18,,,,156
130,,,,,,,,,,,,19,,,,156
131,,,,,,,,,,,,19,,,,156
132,,,,,,,,,,,,19,,,,156
133,,,,,,,,,,,,19,,,,156
134,,,,,,,,,,,,19,,,,156
135,,,,,,,,,,,,19,,,,156
136,,,,,,,,,,,,19,,,,156
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,168
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,168
2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,168
3,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,168
4,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,3.0,168
5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,4.0,168
6,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,5.0,168
7,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,5.0,168
8,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,3.0,6.0,168
9,3.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,3.0,6.0,168
10,3.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1,2.0,3.0,6.0,168
11,4.0,6.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,1,3.0,4.0,6.0,168
12,4.0,6.0,6.0,5.0,1.0,1.0,5.0,5.0,2.0,4.0,2.0,1,4.0,4.0,7.0,168
13,5.0,6.0,7.0,6.0,1.0,1.0,6.0,6.0,3.0,4.0,3.0,1,5.0,5.0,8.0,168
14,5.0,6.0,8.0,7.0,1.0,1.0,6.0,6.0,4.0,5.0,3.0,1,6.0,5.0,9.0,168
15,5.0,6.0,9.0,8.0,1.0,1.0,7.0,6.0,5.0,5.0,4.0,1,7.0,5.0,10.0,168
16,5.0,6.0,9.0,8.0,1.0,2.0,8.0,6.0,6.0,5.0,5.0,1,8.0,5.0,11.0,168
17,6.0,7.0,10.0,9.0,1.0,2.0,9.0,7.0,6.0,6.0,5.0,1,9.0,6.0,12.0,168
18,6.0,7.0,11.0,9.0,1.0,2.0,10.0,7.0,7.0,6.0,6.0,1,9.0,6.0,13.0,168
19,6.0,7.0,12.0,10.0,1.0,3.0,11.0,7.0,7.0,6.0,6.0,1,10.0,6.0,14.0,168
20,6.0,7.0,13.0,11.0,1.0,3.0,12.0,8.0,7.0,6.0,6.0,1,11.0,7.0,15.0,168
21,6.0,8.0,14.0,12.0,1.0,4.0,13.0,9.0,8.0,6.0,7.0,1,11.0,8.0,16.0,168
22,6.0,9.0,15.0,13.0,1.0,4.0,14.0,9.0,8.0,7.0,8.0,1,12.0,8.0,17.0,168
23,6.0,10.0,16.0,14.0,1.0,5.0,15.0,9.0,9.0,7.0,8.0,1,12.0,9.0,18.0,168
24,6.0,10.0,17.0,15.0,1.0,5.0,16.0,10.0,9.0,7.0,9.0,1,13.0,9.0,19.0,168
25,6.0,10.0,18.0,16.0,1.0,6.0,17.0,11.0,9.0,8.0,9.0,1,14.0,10.0,,168
26,6.0,11.0,19.0,17.0,1.0,6.0,18.0,11.0,9.0,8.0,9.0,1,15.0,11.0,,168
27,7.0,11.0,19.0,18.0,1.0,6.0,19.0,12.0,10.0,9.0,9.0,1,16.0,12.0,,168
28,7.0,12.0,19.0,19.0,2.0,6.0,19.0,12.0,11.0,9.0,10.0,1,17.0,13.0,,168
29,7.0,13.0,19.0,,2.0,7.0,19.0,13.0,12.0,10.0,11.0,1,18.0,14.0,,168
30,7.0,13.0,19.0,,2.0,7.0,19.0,14.0,13.0,10.0,11.0,1,19.0,15.0,,168
31,7.0,13.0,19.0,,3.0,7.0,,15.0,13.0,11.0,12.0,1,19.0,16.0,,168
32,7.0,14.0,19.0,,3.0,7.0,,16.0,14.0,11.0,13.0,1,19.0,17.0,,168
33,7.0,15.0,,,3.0,8.0,,17.0,15.0,12.0,14.0,1,19.0,18.0,,168
